iter	Logloss
0	0.6124171175
1	0.5318186556
2	0.4662837549
3	0.416151875
4	0.3718837044
5	0.3336790987
6	0.3035253628
7	0.2771444288
8	0.2547654933
9	0.2302889238
10	0.211436628
11	0.1934338456
12	0.1787436797
13	0.1629488976
14	0.1484839259
15	0.1374016816
16	0.1278459429
17	0.118596855
18	0.1108448477
19	0.1003537297
20	0.09562971462
21	0.08978953016
22	0.08546413411
23	0.07973108655
24	0.07469933153
25	0.06986175886
26	0.06720870426
27	0.06404270407
28	0.06094852655
29	0.05766170162
30	0.05410598382
31	0.05206186891
32	0.04942587386
33	0.04686343719
34	0.0449631463
35	0.04386499019
36	0.04263069449
37	0.03996896773
38	0.03863874291
39	0.03667855052
40	0.03536851099
41	0.03340903224
42	0.03194008066
43	0.03090934862
44	0.03007027523
45	0.02894745761
46	0.02808690455
47	0.02766206226
48	0.0268620696
49	0.02612341121
50	0.02545740456
51	0.02500107263
52	0.02430972759
53	0.02351128735
54	0.02296404448
55	0.02245605699
56	0.02183718551
57	0.02106761003
58	0.02069988125
59	0.02021689726
60	0.01963335239
61	0.01922801399
62	0.01882567106
63	0.01830333811
64	0.01799014285
65	0.01736325065
66	0.01697339288
67	0.01646878691
68	0.01600778212
69	0.01580766282
70	0.0155282153
71	0.01526452781
72	0.01496813951
73	0.01453331366
74	0.01426970196
75	0.01383495642
76	0.01358028918
77	0.01302480021
78	0.0126901725
79	0.0124108035
80	0.0122143303
81	0.01186771199
82	0.01175256042
83	0.01163099877
84	0.01137434447
85	0.01115461792
86	0.01097853976
87	0.01076857566
88	0.0104929322
89	0.01033713343
90	0.01021025986
91	0.0100451087
92	0.009839934514
93	0.009687577921
94	0.009544207841
95	0.009297639951
96	0.009228847106
97	0.009100409946
98	0.008889247599
99	0.008736533458
100	0.008553609902
101	0.008412280302
102	0.008233949125
103	0.008133398779
104	0.007944962683
105	0.007810802177
106	0.007699461475
107	0.007639147851
108	0.007581747682
109	0.007458576961
110	0.007340260541
111	0.007233792981
112	0.007074233613
113	0.006981732934
114	0.006901320354
115	0.006685030947
116	0.006614929236
117	0.00655655484
118	0.006478209046
119	0.00642146217
120	0.006361980381
121	0.006296319144
122	0.006218421021
123	0.006166022264
